P1565,"SSD Interno Seagate FireCuda Gaming 120 500Gb SATAIII de 6 Gb 2.5"" ZA500GM1A001",SSD,29,"$ 2,649.00 ",0
P1566,"SSD Interno Seagate BarraCuda 120 500Gb SATAIII de 6 Gb 2.5"" ZA500CM1A003",SSD,34,"$ 1,849.00 ",0
P1567,SSD ADATA SU630 480GB 2.5 SATA III 520/450 MB/S ASU630SS-480GQ-R,SSD,30,"$ 1,139.00 ",0
P1568,SSD Gigabyte 480 GB 2.5 Sata3 6gb/S Gp-Gstfs31480gntd,SSD,26,"$ 1,149.00 ",0
P1569,TARJETA DE VIDEO GIGABYTE GT710D5 2GL 2GB DDR5 GV-N710D5-2GL,TARJETA DE VIDEO,28,"$ 1,219.00 ",0
P1570,Tarjeta de vídeo ASUS NVIDIA GeForce GT 1030 2GB,TARJETA DE VIDEO,24,"$ 2,159.00 ",0
P1571,Tarjeta de vídeo ASUS GT710 Sl2GD5,TARJETA DE VIDEO,27,"$ 1,469.00 ",0
P1572,Tarjeta de vídeo GIGABYTE NVIDIA GeForce GT 1030 Low Profile 2GB,TARJETA DE VIDEO,24,"$ 2,259.00 ",0
P1573,TARJETA DE VIDEO ASUS PH GT1030 OC 2GB HDMI DVI PH-1030-O2G,TARJETA DE VIDEO,26,"$ 2,299.00 ",0
P1574,TARJETA DE VIDEO GIGABYTE RADEON RX5500XT OC 4GB 1845 MHZ DDR6 HDMI GV-R55XTOC-4GD,TARJETA DE VIDEO,19,"$ 4,429.00 ",0
P1575,TVIDEO EVGA GTX 1650 SUPER XC BLACK GAMING 4GB DDR6,TARJETA DE VIDEO,12,"$ 5,069.00 ",0
P1576,TVIDEO EVGA GTX 1660TI SC ULTRA GAMING 6GB DDR6 DP DVI HDMI,TARJETA DE VIDEO,13,"$ 7,639.00 ",0
P1577,TVIDEO GIGABYTE GT1030 2GB DDR5 DVI HDMI GV-N1030D5-2GL,TARJETA DE VIDEO,24,"$ 2,079.00 ",0
